Date,User,Tweet,Retweets,Likes,Followers,polarity_score,Classification,Stance_-1to1,Stance_0to100,Stance_weighted_reach
2024-07-09 12:28:00+00:00,1781045121313857540,rt emergevc late last year tech business world watched surprise openais ceo abruptly replaced incident reigni,3,0,203,0.2732,Neither,0.2732,63.66,338.55151880812275
2024-07-09 12:28:00+00:00,1808179592382865408,rt zodias323022 rco paving way blockchaintrading etf one defi leader solid proof audit need kyc regi,9,0,12,0.1531,Safety,-0.1531,42.34,108.59995579492147
2024-07-09 12:27:59+00:00,1124695105103749120,rt laughingman2419 これが経産省ガイドラインか 読み込んだ上で判断するが現状の画像生成aiは確実にアウト 既存の著作物に対する依拠性類似性に関しても触れられている httpstcoxthdbymtzi,48,0,309,0.0,Neither,0.0,50.0,286.82861487395957
2024-07-09 12:27:57+00:00,245874650,dark_sparce bruce_arthur exactly gigo foundation learning block fundamental doesnt negate utility generative ai additionally generative ai using open datasets questionable worth live walled garden sole control httpstcoxl0e2px0bz,0,0,1352,-0.5859,Capabilities,-0.5859,20.7,149.2486483031353
2024-07-09 12:27:55+00:00,1489101384855146498,rt ikariharahara nomore無断生成ai 経産省のaiガイドラインは皆 読んだ方が良いよ 今の画像生成aiは殆どアウトじゃないって記載ばっかりだから これ画像生成aiの学習ほぼアウトだよねタグつけして部分的にでも類似画像を復元する目的なんだから,1170,0,166,0.0,Neither,0.0,50.0,255.89969062083776
2024-07-09 12:27:45+00:00,1486667774449811459,rt ikariharahara nomore無断生成ai 経産省のaiガイドラインは皆 読んだ方が良いよ 今の画像生成aiは殆どアウトじゃないって記載ばっかりだから これ画像生成aiの学習ほぼアウトだよねタグつけして部分的にでも類似画像を復元する目的なんだから,1170,0,1055,0.0,Neither,0.0,50.0,348.1121732133103
2024-07-09 12:27:44+00:00,49947396,rt mumbaichadon surgical strike fake video coming soon minister ashwinivaishnaw ji set table digital india bill pa,1934,0,226,-0.5574,Neither,-0.5574,22.13,120.05414388686344
2024-07-09 12:27:40+00:00,1543974496616738818,rt luigirfrm reformdao ensure generated liquidity securely directed towards active market making layer th,37,0,107,0.7717,Neither,0.7717,88.58,414.7431840986634
2024-07-09 12:27:34+00:00,185250189,rt mutaguchi httpstconzlldpqxd2 経産省の生成aiガイドブック63ページもある大作でほんと生成ai使わせたいんだろなあと思うが内容は生成aiの使い方とかではなくほぼ知財周りの権利侵害をどう回避するかという話に終始してるのがす,1280,0,61,0.0,Neither,0.0,50.0,206.35671925225458
2024-07-09 12:27:20+00:00,1153194200189378561,rt mutaguchi httpstconzlldpqxd2 経産省の生成aiガイドブック63ページもある大作でほんと生成ai使わせたいんだろなあと思うが内容は生成aiの使い方とかではなくほぼ知財周りの権利侵害をどう回避するかという話に終始してるのがす,1280,0,347,0.0,Neither,0.0,50.0,292.6101239887237
2024-07-09 12:26:58+00:00,1271701512058662912,richarddawkins dont even think right track replicating consciousness machine making powerful sophistacted calculator ai thought knowledge power tool requiring control potentially dangerous taking due care,0,0,149,0.4404,Neither,0.4404,72.02,360.8659538808123
2024-07-09 12:26:54+00:00,357373225,rt martacantero regulating ai paper wchristmarsden ai coregulation published httpstcopb9hrijdgk,34,0,577,0.0,Neither,0.0,50.0,317.9786934336189
2024-07-09 12:26:51+00:00,1664920516526784512,rt luigirfrm reformdao ensure generated liquidity securely directed towards active market making layer th,37,0,96,0.7717,Neither,0.7717,88.58,405.22789847582965
2024-07-09 12:26:47+00:00,1656699067521695745,dhanhq good thing middle class avoid trading share market hv limited budget unable wait amp emotion control v necessity couldnt avoided liquid cash enough survive sudden amp medium amp ai dangerous better stay away,0,0,305,0.4284,Neither,0.4284,71.42,408.77844798143906
2024-07-09 12:26:41+00:00,1810641130490679296,rt copx_ai asked grok copx daos collaboration centralized exchange grok reveals copxdao leverage ai rev,114,0,0,0.0,Neither,0.0,50.0,0.0
2024-07-09 12:26:36+00:00,1737314889083826176,rt zodias323022 rco paving way blockchaintrading etf one defi leader solid proof audit need kyc regi,9,0,2,0.1531,Safety,-0.1531,42.34,46.51524430220777
2024-07-09 12:26:28+00:00,4832277315,rt ikariharahara nomore無断生成ai 経産省のaiガイドラインは皆 読んだ方が良いよ 今の画像生成aiは殆どアウトじゃないって記載ばっかりだから これ画像生成aiの学習ほぼアウトだよねタグつけして部分的にでも類似画像を復元する目的なんだから,1170,0,1035,0.0,Neither,0.0,50.0,347.15612114097144
2024-07-09 12:26:28+00:00,230966994,rt mumbaichadon surgical strike fake video coming soon minister ashwinivaishnaw ji set table digital india bill pa,1934,0,115,-0.5574,Neither,-0.5574,22.13,105.19695092918384
2024-07-09 12:26:25+00:00,1663230309771493383,rt rarity_goddess received contribution towards lovense 4k webcam pc microphone laptop computer camera live streaming u,0,0,3553,0.0,Neither,0.0,50.0,408.79145043572976
2024-07-09 12:26:25+00:00,1808179592382865408,rt bright_onc48263 rovercrc token holder say project governance token decision voting protocol upgrade fea,10,0,12,0.0,Both,0.0,50.0,128.24746787307683
2024-07-09 12:26:22+00:00,1733481531216457728,rt swasicom_ai ai enhances web30 governance improving decisionmaking predictive analytics automating proposal evaluation,14,0,8,0.4215,Both,0.4215,71.08,156.17872295705848
2024-07-09 12:26:22+00:00,185620824,rt izutorishima 経産省から出たコンテンツ利用のための生成ai利活用ガイドブックを読んでるけどあまりにもデザインも情報設計も上手すぎるし ai 活用したい素人に見せる用資料の決定版やな httpstcogxucpgqonh http,301,0,813,0.0,Neither,0.0,50.0,335.098018300127
