Date,User,Tweet,original,Retweets,Likes,Followers,polarity_score,Classification,Stance_-1to1,Stance_0to100,,Stance_weighted_reach
2024-07-09 06:16:23+00:00,1694997511029604352,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36244,0,3,-0.4588,Neither,-0.4588,27.06, 37.513125411904234 , 37.51 
2024-07-09 05:46:22+00:00,1805219009815777280,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36244,0,5,-0.4588,Neither,-0.4588,27.06, 48.48501123731116 , 48.49 
2024-07-09 05:39:59+00:00,1704626972742062080,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36244,0,342,-0.4588,Neither,-0.4588,27.06, 157.96898590031034 , 157.97 
2024-07-09 06:37:58+00:00,770659927668948992,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36243,0,29,-0.4588,Neither,-0.4588,27.06, 92.03640114777792 , 92.04 
2024-07-09 07:17:36+00:00,1759920506319581184,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36241,0,19,-0.4588,Neither,-0.4588,27.06, 81.06 , 81.06 
2024-07-09 08:29:26+00:00,1808837540830720003,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36240,0,6,-0.4588,Neither,-0.4588,27.06, 52.65632863343677 , 52.66 
2024-07-09 07:32:14+00:00,1057937876892241920,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36240,0,122,-0.4588,Neither,-0.4588,27.06, 130.2177086563776 , 130.22 
2024-07-09 09:05:43+00:00,1474620091824177156,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36239,0,13,-0.4588,Neither,-0.4588,27.06, 71.41289133938889 , 71.41 
2024-07-09 07:50:25+00:00,1473581416176930819,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36239,0,2,-0.4588,Neither,-0.4588,27.06, 29.72844853135905 , 29.73 
2024-07-09 07:43:14+00:00,1653893125,rt bluwhaleai game user ownership changing large company long exploited consumer bluwhale leverage ai h,"RT @bluwhaleai: The game of user ownership is changing, as large companies have long exploited their consumers.

Bluwhale leverages AI to h…",36239,0,260,-0.4588,Neither,-0.4588,27.06, 150.5759222221521 , 150.58 
