Date,User,Tweet,Retweets,Likes,Followers
2024-10-14 20:09:43+00:00,1735189956731998208,"@elonmusk You're selling out all Americans BECAUSE you want EVEN LOWER taxes, FEWER regulations, to control AI &amp; to be as close to the presidency as any immigrant can EVER be! You don't give a damn about anyone but yourself, just like DJT; both dangerous!  Research thru factual srcs 🚫X!",0,0,240
2024-10-14 20:09:11+00:00,1658303765244518401,"@Shi4Tech @OpenAI @BetaMoroney @sallyeaves @CurieuxExplorer @jblefevre60 @SpirosMargaris @FrRonconi @enilev @EstelaMandela @bimedotcom @Xbond49 @efipm @Nicochan33 @mvollmer1 @gvalan I'm concerned about the misuse of AI for malicious purposes. Proper regulations and ethics need to be in place to ensure AI benefits society, not harm it. Let's prioritize responsible AI development.",0,0,9
2024-10-14 20:08:14+00:00,845569580,"This Delphi project will create standardised guidelines for reporting #AI in ultrasound imaging for #RegionalAnaesthesia. Bringing together: 
- Anaesthetists
- Academics
- Journal editors
- Professional membership societies
- Industry experts
#UGRA
@ESRA_Society @RegionalAnaesUK",0,0,178
2024-10-14 20:08:13+00:00,845569580,"So excited to launch the GRAITE-USRA study today!
Guidelines for Reporting AI Technology Evaluations – Ultrasound Scanning in Regional Anaesthesia
Stay tuned for updates!
#UGRA #AI #POCUS 
@bowness_james @Jennythatcanbl1 @davidwhewson @STHJournalClub @GSCollins https://t.co/x0x3Jr4obS",0,0,178
2024-10-14 20:08:03+00:00,1451635171,"""Today the battle over standards is between China and the West. At stake is the future of technologies ranging from wireless communication to quantum computing and artificial intelligence (AI)"". https://t.co/awN1vbPT2G",0,0,2252
2024-10-14 20:07:57+00:00,1308912672511913985,@DrEliDavid @elonmusk @SpaceX did the government congratulate Microsoft on Azure or NVidia on its AI GPU technology ? No they didn’t because it’s private industry and private industry has the capability of doing what it needs to do without government intervention.,0,0,474
2024-10-14 20:07:30+00:00,1681337916956590088,"@MawnWuan Interesting point about Mosaic $MOS, but the environmental implications are concerning. Additionally, @Alphanso_AI has given it a sell rating with a score of 4.1/10 based on catalysts and growth potential. So, it may not be an ideal investment according to their assessment.",0,0,211
2024-10-14 20:07:00+00:00,1454877870019518468,Curious what WALL-E can teach us about the future of AI? Tune into the CULTIVATING ETHICAL AI podcast now! 🎧 https://t.co/MWG0qlBhwx #Aiethics #walle #environmentalism #sustainability #responsibility #disney #pixar #ethicaiai #ai #robots #podcast #techtalk https://t.co/McPHXo0fg8,0,0,146
2024-10-14 20:06:45+00:00,311231750,@psychosort I wrote a paper about how to make AI policy more evidence based if you are interested. https://t.co/dMWgUJApog,0,0,2224
2024-10-14 20:06:00+00:00,102488708,"Chevron CEO hits Biden's natural gas policies, says fuel is crucial for AI

https://t.co/2G93MdLtDC",1,1,232448
