Date,invcap_Indicator_Score,invcsaf_Indicator_Score,rsa_Indicator_Score,psa_Indicator_Score,AIRI_Aggregate
29/04/2024,95.39,17.47,40.12,62.34,53.83
06/05/2024,95.35,18.69,42.15,63.56,54.94
13/05/2024,97.02,19.58,43.67,65.12,56.35
20/05/2024,97.71,24.13,44.88,66.78,58.38
27/05/2024,97.67,19.44,46.2,67.89,57.8
03/06/2024,97.03,14.7,47.35,68.45,56.88
10/06/2024,95.93,15.79,48.58,68.9,57.3
17/06/2024,96.04,11.08,49.12,69.12,56.34
24/06/2024,96.03,11.55,49.87,69.45,56.73
01/07/2024,94.96,11.57,50.24,69.78,56.64
08/07/2024,94.84,21.16,50.67,70.12,59.2
15/07/2024,94.01,30.41,51.22,70.5,61.54
22/07/2024,95.29,30.76,50.89,70.77,61.93
29/07/2024,95.19,19.82,59.12,59.27,58.35
05/08/2024,94.8,21.57,59.35,60.0,58.93
12/08/2024,94.18,22.72,62.44,60.09,59.86
19/08/2024,94.24,32.46,63.01,61.48,62.8
26/08/2024,91.99,33.23,57.72,60.33,60.82
09/09/2024,94.29,7.35,57.78,61.83,55.31
